Author,Art,Sale date,Price,Size,Style,Estimate,Provenance,Sign,Collection,Technique and performance material,Painted,Image
Joan Miró,Painting-Poem,02.07.2012,"26,590,650",130.2 x 96.5 cm,The Art of The Surreal Evening Sale,"GBP 6,000,000 - GBP 9,000,000","Galerie Pierre, Paris.
Galerie Vignon, Paris.
Marie Cuttoli, Paris.
Cordier Warren Gallery, New York.
Selma & Maxime Hermanos, New York.
Anonymous sale, Christie's, New York, 12 November 1985, lot 59.
Acquired at the above sale by the present owner. 
","
signed and dated 'Miró.1925.' (lower right) 
",-,oil on canvas ,1925,https://www.christies.com/img/LotImages/2012/CKS/2012_CKS_08056_0117_000(joan_miro_painting-poem).jpg
Christopher Wool,Apocalypse Now,11.12.2013,"26,485,000",213.4 x 182.9 cm,Post-War and Contemporary Evening Sale,"USD 15,000,000 - USD 20,000,000","Luhring Augustine, New York
303 Gallery, New York
Werner and Elaine Dannheisser, New York
Per Skarstedt, New York
Mr. and Mrs. Donald L. Bryant, St. Louis
Phillippe Ségalot, New York
François Pinault, Paris
Giraud Pissarro Ségalot, New York
David and Danielle Ganek, New York
Acquired from the above by the present owner","
signed, titled, numbered and dated 'APOCALYPSE NOW (P.50) WOOL 1988' (on the reverse)
",-,alkyd and flashe on aluminum and steel,1988,https://www.christies.com/img/LotImages/2013/NYR/2013_NYR_02791_0008_000(christopher_wool_apocalypse_now).jpg
Franz Kline,King Oliver,11.12.2014,"26,485,000",251.4 x 196.8 cm,Post-War & Contemporary Art Evening Sale,"USD 25,000,000 - USD 35,000,000","Sidney Janis Gallery, New York
Isobel and I. Donald Grossman, New York, circa 1958
Mitchell-Innes & Nash, New York
Private collection, Paris
C & M Arts, New York
Private collection, San Francisco
Acquired from the above by the present owner

","
signed and dated 'FRANZ KLINE 58' (on the reverse)
","
Private collection, Paris
",oil on canvas,1958,https://www.christies.com/img/LotImages/2014/NYR/2014_NYR_02891_0023_000(franz_kline_king_oliver).jpg
Edgar Degas,Danseuses à la barreREPEAT SALE,06.24.2008,"26,421,902",65.8 x 50.7 cm,Impressionist  and Modern Art  Evening Sale,"GBP 4,000,000 - GBP 6,000,000","Mr and Mrs H.O. Havemeyer, New York.
Mrs Electra Havemeyer Webb (daughter of the above), New York, from 1929. 
Mrs Electra Webb Bostwick (daughter of the above), New York, from 1960; sale, Christie's, New York, 3 November 1982, lot 44 ($1,045,000).
Acquired by the present owner circa 1985.
","
signed and indistinctly inscribed 'Degas' (upper right, see note) 
",-,"pastel, gouache and charcoal on paper ",1880,https://www.christies.com/img/LotImages/2008/CKS/2008_CKS_07599_0009_000().jpg
Alexander Calder,Poisson volant,05.13.2014,"25,925,000",226.0 x 101.6 cm,Post-War and Contemporary Evening Sale,"USD 9,000,000 - USD 12,000,000","Galerie Maeght, Paris
Acquired from the above by the present owner, 1965
","
signed with initials and dated 'CA 57' (on the largest element)
",-,"hanging mobile--painted sheet metal, rod and wire ",1957,https://www.christies.com/img/LotImages/2014/NYR/2014_NYR_02847_0008_000(alexander_calder_poisson_volant).jpg
Jeff Koons,Balloon Monkey,11.12.2014,"25,925,000",596.9 x 320 cm,Post-War & Contemporary Art Evening Sale,"USD 20,000,000 - USD 30,000,000","Sonnabend Gallery, New York 
Acquired from the above by the present owner","
signed and dated 'Jeff Koons 2006-2013' (on the underside of the head)
",-,mirror-polished stainless steel with transparent color coating,2006,https://www.christies.com/img/LotImages/2014/NYR/2014_NYR_02891_0042_000(jeff_koons_balloon_monkey).jpg
Philip Guston,To Fellini,05.15.2013,"25,883,750",175.2 x 187.9 cm,Post-War & Contemporary Evening Sale,"USD 8,000,000 - USD 12,000,000","Sidney Janis Gallery, New York
Nelson A. Rockefeller Collection, New York
Richard Manoogian Collection, Grosse Pointe
Gagosian Gallery, New York
Acquired from the above by the present owner, 1991
","
signed, titled and dated 'PHILIP GUSTON 1958 ""TO FELLINI""' (on the reverse)
","
Nelson A. Rockefeller Collection, New York
",oil on canvas ,1958,https://www.christies.com/img/LotImages/2013/NYR/2013_NYR_02785_0023_000(philip_guston_to_fellini).jpg
Alberto Giacometti,La main,05.04.2010,"25,842,500",71 cm,Impressionist/ Modern Evening Sale,"USD 10,000,000 - USD 15,000,000","Pierre Matisse Gallery, New York (July 1948).
Millicent Rogers, New York (acquired from the above, 1950).
Mr. and Mrs. Paul Peralta-Ramos, New York (by descent from the above, by 1965).
Stephan Hahn Gallery, New York (by 1994).
Acquired from the above by the present owner, 1995. 
",-,-,bronze with brown and green patina ,1947,-
Jeff Koons,Balloon Flower,06.30.2008,"25,783,062",285 x 260cm,Post-War & Contemporary Art  Evening Sale,,"Anthony d'Offay Gallery, London, Jeffrey Deitch, New York and Galerie Max Hetzler, Berlin.
Acquired from the above by the present owner. 
",-,-,high chromium stainless steel with transparent colour coating ,1995,https://www.christies.com/img/LotImages/2008/CKS/2008_CKS_07602_0012_000().jpg
Jean Antoine Watteau,La Surprise: A couple embracing while a figure dressed as Mezzetin tunes a guitar,07.08.2008,"24,417,178",36.3 x 28.2 cm,Important Old Master & British Pictures  Evening Sale,"GBP 3,000,000 - GBP 5,000,000","Nicolas Hénin (1691-1724), Paris.
Jean de Jullienne (1686-1766), Paris, by 1731.
Ange-Laurent de la Live de Jully (1725-1779), Paris, by 1764.
François-Michel Harenc de Presle, Paris (1710-1802); his sale, Le Brun, Paris 16-24 April, 1792, lot 51 'Le croc-en-jambe. On voit un homme assis vêtu en habit de mezetin, jouant de la guitare & regardant un homme qui renverse sur lui une femme qu'il embrasse. Ce joli et précieux tableau se trouve gravé dans son oeuvre, par Audran sous le nom de  La Surprise. Il est de la plus belle couleur et du plus beau faire de ce maître. Hauteur 14 pouces, largeur 11'; auction cancelled; private sale to M. Robit.
Citoyen M. Robit; sale, Paillet, Paris, 11-18 May 1801, lot 165 'Un tableau aussi piquant par le sujet que par la richesse de la couleur et l'esprit de la touche. Dans un paysage frais et agréable l'on voit trois personnages, dont un jeune homme vêtu à l'Espagnole, pinçant de la guitare, tandis qu'un autre embrasse une jeune fille qu'il tient renversée sur ses genoux. Elle est vue de profil et par le dos, ajustée d'un corset rouge qui découvre une partie de ses épaules. Ce précieux morceau, gravé par Audran, sous le titre de La Surprise, provident du Cabinet de Presle. 14 sur 11 pouces. Bois'. (411 francs to M. vandewalle).
Lady Murray, by 1848, and by inheritance to the present owners. 
",-,-,oil on panel ,-,https://www.christies.com/img/LotImages/2008/CKS/2008_CKS_07609_0021_000().jpg
,Vierwaldstätter See,02.11.2015,"24,015,744",120 x 150cm,Post-War and Contemporary Art Evening Auction,,"The Artist.
Acquired from the above by the present owner in 1973.","
signed, numbered and dated '226/2 Richter 69' (on the reverse)
",-,oil on canvas,1969,https://www.christies.com/img/LotImages/2015/CKS/2015_CKS_10337_0008_000(gerhard_richter_vierwaldstatter_see).jpg
Pablo Picasso,Nu au collier,06.25.2002,"23,944,552",92 x 73cm,Impressionist and Modern Art Evening Sale                   ,"GBP 6,000,000 - GBP 9,000,000","Galerie Simon (Daniel-Henri Kahnweiler), Paris (1358), where purchased by the parents of the present owner.
","
signed and dated 'Picasso 32' (upper left); incribed 'Boisgeloup juillet - octobre XXXII' (on the crossbar of the stretcher)
",-,oil on canvas ,1932,https://www.christies.com/img/LotImages/2002/CKS/2002_CKS_06590_0012_000().jpg
Andy Warhol,Big Campbell′s soup can with can opener,11.10.2010,"23,882,500",182.9 x 132.1 cm,Post-War and Contemporary Evening Sale,"USD 30,000,000 - USD 50,000,000","Stable Gallery, New York
Mr. and Mrs. Burton Tremaine, Meriden
Ted Ashley, New York
Their sale; Christie's, New York, 12 November 1986, lot 6
Mayor Gallery, London
Acquired from the above by the present owner, 1987
","
signed and dated 'Andy Warhol 62' (on the stretcher); signed again 'Andy Warhol 62' (on the reverse)
",-,casein and graphite on linen ,1962,https://www.christies.com/img/LotImages/2010/NYR/2010_NYR_02355_0008_000(andy_warhol_big_campbells_soup_can_with_can_opener).jpg
Kurt Schwitters,Ja - Was? - Bild,06.24.2014,"23,781,982",109.2 x 80 cm,Impressionist/Modern Evening Sale,"GBP 4,000,000 - GBP 6,000,000","The artist's estate.
Ernst Schwitters, Lysaker, by descent from the artist in 1948.
Galerie d’Art Moderne, Basel, by whom acquired in 1956.
Kornfeld & Klipstein, Bern, 1956.
Fine Art Associates [Otto Gerson Gallery], New York.
McCrory Corporation, New York.
Mr & Mrs James W. Alsdorf, Chicago, by 1961.
Galerie Gmurzynska, Cologne.
Viktor & Marianne Langen, Meerbusch, by whom acquired in 1981, and thence by descent to the present owners.","
signed and dated 'Kurt Schwitters 1920.' (lower left); signed, dated and inscribed 'Kurt Schwitters 1920 Ja, Was? = Bild' (on the reverse)
",-,"oil, paper, corrugated card, cardboard, fabric, wood and nails on board; in the artist's frame",1920,https://www.christies.com/img/LotImages/2014/CKS/2014_CKS_01532_0008_000(kurt_schwitters_ja_-_was_-_bild).jpg
Andy Warhol,MarlonREPEAT SALE,11.14.2012,"23,714,500",104.2 x 117.1 cm,Post-War & Contemporary Art Evening Sale,"USD 15,000,000 - USD 20,000,000","Eric Emerson, New York
Frederick W. Hughes, New York
Galerie Bischofberger, Zurich
Anon. sale; Sotheby's, New York, 19 November 1997, lot 46
Mugrabi Collection, New York
Anon. sale; Christie's, New York, 14 May 2003, lot 16
Acquired at the above sale by the present owner 
","
signed and inscribed 'To Eric Andy' (on the overlap) 
","
Mugrabi Collection, New York
",silkscreen ink on canvas ,1966,https://www.christies.com/img/LotImages/2012/NYR/2012_NYR_02597_0014_000(andy_warhol_marlon).jpg
Christopher Wool,If YouREPEAT SALE,05.13.2014,"23,685,000",274.3 x 182.8 cm,Post-War and Contemporary Evening Sale,"USD 20,000,000 - USD 30,000,000","Luhring Augustine Gallery, New York
Private collection, Midwest
Anon. sale; Phillips, New York, 13 November 2000, lot 17
Acquired at the above sale by the present owner 
","
signed, titled, numbered and dated 'IF YOU (W33) WOOL 1992' (on the reverse)
","
Private collection, Midwest
",enamel on aluminum ,1992,https://www.christies.com/img/LotImages/2014/NYR/2014_NYR_02847_0017_000(christopher_wool_if_you).jpg
Roy Lichtenstein,Nude with Yellow Flower,05.15.2013,"23,643,750",233 x 183 cm,Post-War & Contemporary Evening Sale,"USD 12,000,000 - USD 16,000,000","Leo Castelli Gallery, New York
Stefan T. Edlis Collection, Chicago
Mitchell-Innes & Nash, New York
Thomas Gibson Fine Art Ltd., London
Acquired from the above by the present owner
","
signed and dated 'rf Lichtenstein '94' (on the reverse)
","
Stefan T. Edlis Collection, Chicago
",oil and Magna on canvas ,1994,https://www.christies.com/img/LotImages/2013/NYR/2013_NYR_02785_0049_000(roy_lichtenstein_nude_with_yellow_flower).jpg
Gustav Klimt,Schloss Kammer am Attersee IIREPEAT SALE,10.09.1997,"23,562,388",110 x 110 cm,German and Austrian Art '97,,"Dr. Hermann Eissler, Vienna, by 1910.
Hans Böhler, Vienna, by 1920.
Friederike Beer-Monti, Vienna and New York (by whom lent periodically to the Österreichische Galerie, Vienna).
Galerie St. Etienne, New York.
Victor Gruen, Beverly Hills, by 1965. 
","
signed 'GUSTAV KLIMT' (lower right) 
",-,oil on canvas ,1909,-
Lucian Freud,Naked Portrait with ReflectionREPEAT SALE,06.30.2008,"23,548,214",91 x 91cm,Post-War & Contemporary Art  Evening Sale,"GBP 10,000,000 - GBP 15,000,000","James Kirkman Ltd., London.
Odette Gilbert Gallery, London.
Anon. sale, Sotheby's London, 9 December 1998, lot 15.
Acquired at the above sale by the present owner. 
",-,-,oil on canvas ,1980,https://www.christies.com/img/LotImages/2008/CKS/2008_CKS_07602_0018_000().jpg
Paul Cézanne,Madame Cézanne au fauteuil jaune,05.12.1997,"23,102,500",80.4 x 64.4 cm,The John & Frances L. Loeb Collection,,"Ambroise Vollard, Paris?
Paul Cassirer, Berlin
Lucie Ceconi, Berlin
Galerie Bernheim-Jeune, Paris
Moderne Galerie (Heinrich Thannhauser), Munich
H. Pollak, Frankfurt
Galerie Thannhauser, Lucerne and Paul Rosenberg, Paris
Adolph Lewisohn, New York
Samuel A. Lewisohn, New York
Wildenstein & Co., Inc., New York
Millicent Rogers, New York
Peter A. Salm, New York (acquired from the above in 1953)
M. Knoedler & Co., Inc., New York (acquired from the above in 1955)
Acquired from the above by the late owners on Jan. 3, 1956 
",-,-,oil on canvas ,1888,-
Jackson Pollock,Number 28,05.08.2012,"23,042,500",76.5 x 137.4 cm,Post-War and Contemporary Art Evening Sale,"USD 20,000,000 - USD 30,000,000","New Gallery, New York
Heinz Berggruen, Paris
Mr. and Mrs. Arnold Maremont, Winnetka
Harold and Hester Diamond, New York
Acquired from the above by the present owner
","
signed and dated '51 Jackson Pollock' (lower edge); signed again twice, titled and dated again twice 'Jackson Pollock 1951 #28' (on the stretcher and on the reverse)
",-,oil on canvas ,1951,https://www.christies.com/img/LotImages/2012/NYR/2012_NYR_02557_0022_000(jackson_pollock_number_28_1951).jpg
Wassily Kandinsky,Studie für Improvisation 8,11.07.2012,"23,042,500",98 x 70 cm,Impressionist and Modern Art Evening Sale,"USD 20,000,000 - USD 30,000,000","Anon. sale, Gerd Rosen Auktionen, Berlin, 29 April 1950, lot 862.
Walther Scharf, Berlin.
Drs. Fritz and Peter Nathan, Zurich.
Acquired from the above by the present owner, 1960.
",-,-,oil on card mounted on canvas ,1909,https://www.christies.com/img/LotImages/2012/NYR/2012_NYR_02594_0047_000(wassily_kandinsky_studie_fur_improvisation_8).jpg
Pablo Picasso,Portrait de femme,05.06.2014,"22,565,000",99.4 x 80.8 cm,Impressionist and Modern Art Evening Sale including Property from the Estate of Edgar M. Bronfman,"USD 25,000,000 - USD 35,000,000","G. David Thompson, Pittsburgh (by 1960).
Galerie Beyeler, Basel. (Acquired from the above).
Viktor and Marianne Langen, Meerbusch (acquired from the above, 1981). By descent from the above to the present owners.
","
signed 'Picasso' (upper left) 
",-,oil on panel ,1942,https://www.christies.com/img/LotImages/2014/NYR/2014_NYR_02844_0029_000(pablo_picasso_portrait_de_femme).jpg
Francis Bacon,Figure Turning,05.13.2014,"22,565,000",-,Post-War and Contemporary Evening Sale,"USD 20,000,000 - USD 30,000,000","Marlborough Fine Art, Ltd., London
Private collection, New York
Acquired from the above by the present owner
","
Figure Turning 
titled and dated 'Figure Turning 1962' (on the reverse) 
","
Private collection, New York
",oil on canvas ,1962,https://www.christies.com/img/LotImages/2014/NYR/2014_NYR_02847_0037_000(francis_bacon_figure_turning).jpg
Norman Rockwell,The Rookie,05.22.2014,"22,565,000",104.1 x 99 cm,American Art,"USD 20,000,000 - USD 30,000,000","Private collection, Midwest.
Judy Goffman Fine Art/American Illustrators Gallery, New York, 1982.
Mike Cluff Fine Art, Balboa, California.
Acquired by the present owner from the above, 1986. 
","
signed 'Norman/Rockwell' (lower center) 
","Private collection, Midwest.
",oil on canvas ,1957,https://www.christies.com/img/LotImages/2014/NYR/2014_NYR_02851_0030_000(norman_rockwell_the_rookie).jpg
Claude Monet,Les PeupliersREPEAT SALE,05.04.2011,"22,482,500",116.2 x 72.2 cm,Impressionist and Modern Art Evening Sale,"USD 20,000,000 - USD 30,000,000","Dr. Georges Viau, Paris.
A. and R. Ball, New York (1960).
Else Sackler, New York (acquired from the above); sale, Christie's, New York, 8 November 2000, lot 9.
Acquired at the above sale by the present owner.
",-,-,oil on canvas ,1891,https://www.christies.com/img/LotImages/2011/NYR/2011_NYR_02437_0016_000(claude_monet_les_peupliers).jpg
Maurice de Vlaminck,Paysage de banlieueREPEAT SALE,05.04.2011,"22,482,500",65 x 81 cm,Impressionist and Modern Art Evening Sale,"USD 18,000,000 - USD 25,000,000","Ambroise Vollard, Paris.
Albert Skira, Geneva.
Galerie Rosengart, Lucerne (acquired from the above, 1943).
Galerie Aktuaryus, Zurich (acquired from the above, 1943).
Private collection, Switzerland (circa 1960).
The Lefevre Gallery (Alex. Reid & Lefevre, Ltd.), London (circa 1974).
Private collection, London (acquired from the above, 1974); sale, Christie's, New York, 10 May 1994, lot 2.
Private collection, New York (acquired in 1994).
Acquavella Galleries, New York.
Acquired from the above by the present owner, 2002. 
",-,"
Private collection, Switzerland (circa 1960).
",oil on canvas ,1905,https://www.christies.com/img/LotImages/2011/NYR/2011_NYR_02437_0025_000(maurice_de_vlaminck_paysage_de_banlieue).jpg
Barnett Newman,Onement V,05.08.2012,"22,482,500",152.4 x 96.5 cm,Post-War and Contemporary Art Evening Sale,"USD 10,000,000 - USD 15,000,000","Collection of the artist
Mr. and Mrs. Stephen D. Paine, Boston, 1962
Harold and Hester Diamond, New York
Annalee Newman, New York
Acquired from the above by the present owner, 1988
","
signed and dated 'Barnett Newman 1952' (on the reverse) 
","Collection of the artist
",oil on canvas ,1952,https://www.christies.com/img/LotImages/2012/NYR/2012_NYR_02557_0024_000(barnett_newman_onement_v).jpg
Henri Matisse,Portrait au manteau bleu,05.06.2008,"22,441,000",91.3 x 59.8 cm,Impressionist And Modern Art  Evening Sale,,"Jean Matisse, Paris (by descent from the artist).
Nevill Keating Pictures Ltd., London.
Private collection (acquired from the above, circa 1985).
","
signed and dated 'Henri Matisse 35' (lower left) 
","
Private collection (acquired from the above, circa 1985).
",oil on canvas ,1935,https://www.christies.com/img/LotImages/2008/NYR/2008_NYR_01994_0006_000().jpg
Henri de Toulouse-Lautrec,La blanchisseuse,11.01.2005,"22,416,000",93 x 75 cm,Impressionist and Modern Art  Evening Sale                  ,"USD 20,000,000 - USD 25,000,000","G. Bonnefoy, Paris.
Maurice Joyant, Paris.
Mme M.G. Dortu, Paris.
Mr. and Mrs. Neison Harris, Chicago (acquired from the above, 27 April 1970).
By descent from the above to the present owner.
","
stamped with artist's monogram 'TL' (lower left) 
",-,oil on canvas ,1886,https://www.christies.com/img/LotImages/2005/NYR/2005_NYR_01570_0017_000().jpg
Mark Rothko,Homage to Matisse,11.08.2005,"22,416,000",268.3 x 129.5 cm,POST-WAR AND CONTEMPORARY ART EVENING SALE,,"Estate of the artist
Marlborough A.G., Lichtenstein/Marlborough Gallery, Inc., New York
McCrory Corporation, New York
McKee Gallery, New York
Acquired from the above by the present owner, 1984
","
signed, titled and dated 'MARK ROTHKO 1953' (on the reverse) 
",-,oil on canvas ,1954,https://www.christies.com/img/LotImages/2005/NYR/2005_NYR_01573_0034_000().jpg
Egon Schiele,Einzelne Häuser,11.08.2006,"22,416,000",109.8 x 139.7 cm,Impressionist and Modern Art Evening Sale,"USD 20,000,000 - USD 30,000,000","Felix Albrecht Harta,Vienna (acquired from the artist, 1918).
Hugo & Broncia Koller, Vienna.
Rupert & Sylvia Koller, Vienna (by descent from the above).
Bruno Grimschitz, Vienna.
Viktor Fogarassy, Graz.
Aberbach Gallery, New York.
Acquired from the above by the present owner. 
","
signed 'EGON SCHIELE 1915' (center right) 
",-,oil on canvas ,1915,https://www.christies.com/img/LotImages/2006/NYR/2006_NYR_01722_0060_000().jpg
Fernand Léger,La femme en rouge et vert,11.04.2003,"22,407,500",100.8 x 80.4 cm,Impressionist and Modern Art (Evening Sale)                 ,"USD 10,000,000 - USD 15,000,000","Galerie Kahnweiler, Paris (acquired directly from the artist, 1914).
Daniel-Henry Kahnweiler, Second Sale of Sequestered Art; Paris, Hôtel Drouot, 17-18 November 1921, lot 155.
Léonce Rosenberg, Paris (acquired at the above sale).
German Occupation Army, Paris (looted from the gallery/residence of Paul Rosenberg, 21 rue de la Boétie, Paris, 17 October 1941).
Récuperations artistiques françaises (taken into custody, 8 June 1948).
Entrusted to the Musée National d'Art Moderne [as of 1974, Centre Georges Pompidou], Paris (on exhibition; inv. R. 2 P.).
Restituted to the Rosenberg family heirs, September 2003.
","
signed, dated and titled 'FEMME EN ROUGE ET VERT F. LEGER 14' (on the reverse)
",-,oil on canvas ,1914,https://www.christies.com/img/LotImages/2003/NYR/2003_NYR_01299_0032_000().jpg
Edward Burne-Jones,Love among the Ruins,07.11.2013,"22,115,900",96.5 x 152.4 cm,Important Victorian & British Impressionist Art,"GBP 3,000,000 - GBP 5,000,000","Bought from the artist by Fredrick Craven of Manchester in 1873.
R.E. Tatham of 90 York Street, Portman Square, London, by 1904 (+); Christie's, London, 7 March 1908, lot 55 (1,575 gns to Agnew's).
Lady Wantage (?).
R.H. Benson (?).
Mrs W.M.H. Pollen; Sotheby's, London, 21 May 1958, lot 118 (480 gns to Agnew's).
","
signed with initials (lower left), and signed again 'Edward. Burne. Jones' (on the backboard), with typed inscription 'This Picture, being painted in WATER/COLOUR, would be injured by the slight-/est moisture./Great care must be used whenever/it is removed from the Frame.' and signed again 'Edward Burne-Jones' (on a label attached to the reverse of the frame)
",-,"signed with initials (lower left), and signed again 'Edward. Burne. Jones' (on the backboard), with typed inscription 'This Picture, being painted in WATER/COLOUR, would be injured by the slight-/est moisture./Great care must be used whenever/it is removed from the Frame.' and signed again 'Edward Burne-Jones' (on a label attached to the reverse of the frame)",-,https://www.christies.com/img/LotImages/2013/CKS/2013_CKS_01128_0003_000(sir_edward_coley_burne-jones_bt_ara_rws_love_among_the_ruins).jpg
,"Abstraktes Bild, Dunkel",05.15.2013,"21,963,750",260 x 200 cm,Post-War & Contemporary Evening Sale,"USD 14,000,000 - USD 18,000,000","Sperone Westwater, New York
Acquired from the above by the present owner, 1987
","
signed, numbered and dated '613-2 Richter 1986' (on the reverse)
",-,oil on canvas ,1986,https://www.christies.com/img/LotImages/2013/NYR/2013_NYR_02785_0053_000(gerhard_richter_abstraktes_bild_dunkel).jpg
Pablo Picasso,Jeune fille endormie,06.21.2011,"21,799,182",46.3 x 55 cm,Impressionist/Modern Evening Sale,"GBP 9,000,000 - GBP 12,000,000","Valentine Gallery, New York, by circa 1935.
Walter P. Chrysler Jr. Collection, Norfolk, VA (no. 184), by 1939; sale, Sotheby's, New York, 16 February 1950, lot 59.
Private collection, New York, by 1965, and thence by descent.
A gift from the above to the The University of Sydney in 2010.
","
signed 'Picasso' (upper left); dated 'PARIS 3 Fevrier XXXV-' (on the stretcher)
","
Walter P. Chrysler Jr. Collection, Norfolk, VA (no. 184), by 1939; sale, Sotheby's, New York, 16 February 1950, lot 59.
",oil on canvas ,1935,https://www.christies.com/img/LotImages/2011/CKS/2011_CKS_07974_0047_000(pablo_picasso_jeune_fille_endormie).jpg
Egon Schiele,Herbstsonne,06.20.2006,"21,708,430",100 x 120.5 cm,German and Austrian Art  ,"GBP 4,000,000 - GBP 6,000,000","Xaver B. Gmür, Vienna, by whom acquired from the artist, autumn 1914.
Karl Grünwald, Vienna, until 1938.
Confiscated by the Nazi authorities from the Grünwald consignment (Seegmüller) in Strasbourg; included in the illicit sales of the collection in June 1942.
Private collection, France.
Restituted to the heirs of Karl Grünwald in 2006. 
","
signed and dated 'Egon Schiele' (lower left); signed, inscribed and dated 'Egon Schiele Herbstsonne Wien 1914' (on the stretcher)
","
Confiscated by the Nazi authorities from the Grünwald consignment (Seegmüller) in Strasbourg; included in the illicit sales of the collection in June 1942.
",oil on canvas ,1914,https://www.christies.com/img/LotImages/2006/CKS/2006_CKS_07345_0007_000().jpg
Roy Lichtenstein,Reflections on the PromREPEAT SALE,11.12.2014,"21,445,000",188 x 228.6 cm,Post-War & Contemporary Art Evening Sale,,"Leo Castelli Gallery, New York
Jeffrey H. Loria & Co., Inc., New York
Private collection, Philadelphia
Anon. sale; Christie's, New York, 13 May 2008, lot 40
Acquired at the above sale by the present owner","
signed and dated 'rf. Lichtenstein 1990' (on the reverse)
","
Private collection, Philadelphia
",oil and Magna on canvas,1990,https://www.christies.com/img/LotImages/2014/NYR/2014_NYR_02891_0012_000(roy_lichtenstein_reflections_on_the_prom).jpg
Pablo Picasso,"Les femmes d′Alger, version L",05.04.2011,"21,362,500",130 x 97 cm,Impressionist and Modern Art Evening Sale,"USD 20,000,000 - USD 30,000,000","Galerie Louise Leiris, Paris.
Victor and Sally Ganz, New York (acquired from the above, June 1956).
Paul Rosenberg, New York (acquired from the above, 1957).
Acquired from the above by the family of the present owners, 1959.
","
signed 'Picasso' (lower right); dated '9.2.55.' (on the reverse) 
",-,oil on canvas ,1955,https://www.christies.com/img/LotImages/2011/NYR/2011_NYR_02437_0032_000(pablo_picasso_les_femmes_dalger_version_l).jpg
Charles Willson Peale,George Washington at Princeton,01.21.2006,"21,296,000",243.8 x 156.2 cm,Property From the Collection of Mrs. J. Insley Blair,"USD 10,000,000 - USD 15,000,000","With William Carmichael (d. 1795), Philadelphia and Madrid, Spain, 1779 
Probably Pedro Alcántara de Toledo y Salm-Salm (1768-1841), the thirteenth Duke of the Infantado, Madrid, Spain
Manuel de Toledo Lesparre (1805-1886), The Duke of Pastrana, Spain and Paris, France, son
Dionisia Maria Vives y Zires (d. 1892), The Duchess of Pastrana, Spain and Paris, France, wife
Colegio Nuestra Senora Del Buen Consejo, Lecaroz, Spain, by bequest
Purchased from P.W. French & Co., New York, 1919
","
signed and dated 'C. WPeale, pinx:t Philadelphia 1779' (lower left) 
",-,oil on canvas ,-,https://www.christies.com/img/LotImages/2006/NYR/2006_NYR_01618_0547_000().jpg
Clyfford Still,1947-R-No. 1 ,11.15.2006,"21,296,000",175.3 x 165.1 cm,Post War and Contemporary Art Evening Sale,"USD 5,000,000 - USD 7,000,000","Alfonso Ossorio, East Hampton
Robert Elkon Gallery, New York
Acquired from the above by the present owner, 1971
","
dated '1947' (on the reverse) 
",-,oil on canvas ,-,https://www.christies.com/img/LotImages/2006/NYR/2006_NYR_01725_0044_000().jpg
Willem de Kooning,Untitled XXXI,05.13.2014,"21,165,000",137.1 x 152.4 cm,Post-War and Contemporary Evening Sale,"USD 8,000,000 - USD 12,000,000","Collection of the Artist
Xavier Fourcade, New York
Acquired from the above by the present owner, 1979
","
signed 'de Kooning' (on the reverse) 
","Collection of the Artist
",oil on canvas ,1977,https://www.christies.com/img/LotImages/2014/NYR/2014_NYR_02847_0039_000(willem_de_kooning_untitled_xxxi).jpg
,Abstraktes Bild,11.12.2013,"20,885,000",225 x 200 cm,Post-War and Contemporary Evening Sale,,"Anthony D'Offay Gallery, London
Collection of Ulla and Heiner Pietzsch, Berlin
Their sale; Sotheby's, New York, 14 November 2001, lot 31
Acquired at the above sale by the present owner
","
signed, numbered and dated '809-1 Richter 1994' (on the reverse); numbered again '809-1' (on the turning edge)
","
Collection of Ulla and Heiner Pietzsch, Berlin
",oil on canvas,1994,https://www.christies.com/img/LotImages/2013/NYR/2013_NYR_02791_0035_000(gerhard_richter_abstraktes_bild).jpg
Juan Gris,"Livre, pipe et verres",11.06.2008,"20,802,500",73 x 91.5 cm,Impressionist/Modern Evening Sale,"USD 12,500,000 - USD 18,500,000","Léonce Rosenberg, Paris.
Dr. Gottlieb F. Reber, Lausanne (acquired from the above).
Paul bey Adamidi Frasheri, Geneva (acquired from the above).
Galerie Georges Moos, Geneva.
Mr. and Mrs. Ralph Colin, New York (acquired from the above, 30 April 1949).
E.V. Thaw, New York and Acquavella Contemporary Galleries, New York (acquired from the above).
Acquired from the above by the present owner.
","
signed and dated 'Juan Gris 3-15' (on the reverse) 
",-,oil on canvas ,1915,https://www.christies.com/img/LotImages/2008/NYR/2008_NYR_02045_0007_000().jpg
Alberto Giacometti,Le Chat,05.04.2010,"20,802,500",80 cm,Property from the Collection of Mrs. Sidney F. Brody,"USD 12,000,000 - USD 18,000,000","Pierre Matisse Gallery, New York.
Acquired from the above by Mr. and Mrs. Sidney Brody, 19 May 1955.
","
signed, numbered and inscribed with foundry mark, 'Alberto Giacometti 3/8 Susse Fondeur Paris' (on the top of the base)
",-,bronze with green and brown patina ,1951,https://www.christies.com/img/LotImages/2010/NYR/2010_NYR_02410_0004_000(alberto_giacometti_le_chat).jpg
