Author,Art,Sale date,Price,Provenance,Sign,Technique and performance material,Size,Image,Estimate,Report,Description,Tried url
Fernand Léger,La femme en rouge et vert,11.04.2003,"22,407,500",,,,,,,Not Found,,https://www.sothebys.com/en/search-results.html?query=Fernand Léger La femme en rouge et vert&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past
Edward Burne-Jones,Love among the Ruins,07.11.2013,"22,115,900",,,,,,,Not Found,,https://www.sothebys.com/en/search-results.html?query=Edward Burne-Jones Love among the Ruins&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past
Yves Klein,"Sculpture éponge bleue sans titre, SE 168",05.14.2013,"22,005,000",,,,,,,Not Found,,"https://www.sothebys.com/en/search-results.html?query=Yves Klein Sculpture éponge bleue sans titre, SE 168&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past"
,"Abstraktes Bild, Dunkel",05.15.2013,"21,963,750",,,,,,,Not Found,,"https://www.sothebys.com/en/search-results.html?query= Abstraktes Bild, Dunkel&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past"
,Abstraktes Bild,05.08.2012,"21,810,500","Anthony d'Offay Gallery, London
Private Collection, Germany
Christie's, London, 6 February 2003, Lot 711
Private Collection
Christie's, New York, 12 May 2011, Lot 122
Acquired from the above sale by the present owner 
Carré d'Art, Museé d'Art Contemporain de Nîmes, Gerhard Richter: 100 Bilder, June - September 1996, p. 29, illustrated in color
Gerhard Richter, Werkübersicht/Catalogue Raisonné 1962-1993, Bonn 1993, no. 752-4, illustrated in color
Dietmar Elger, Ed., Gerhard Richter, Catalogue Rasionné 1988-1994, Vol. 4, Ostfildern 2015, no. 752-4, p. 418, illustrated in color
“I want to end up with a picture that I haven’t planned. This method of arbitrary choice, chance, inspiration and destruction may produce a specific type of picture, but it never produces a predetermined picture…I just want to get something more interesting out of it than those things I can think out for myself.”
Gerhard Richter
","signed, dated XII. 91 and Dez. 91 and numbered 752-4 on the reverse
",oil on canvas,62.2 by 52.1 cm,https://sothebys-com.brightspotcdn.com/dims4/default/12982c0/2147483647/strip/true/crop/1685x2000+0+0/resize/179x212!/quality/90/?url=https%3A%2F%2Fsothebys-com.brightspotcdn.com%2Ff3%2F14%2F08%2F7ec9513bce3c6296fadfebb06190850afdfbdcd1fa043c7d1bb4e173e0%2F438n10070-b4sdc.jpg,"500,000",Found,"signed, dated XII. 91 and Dez. 91 and numbered 752-4 on the reverse
oil on canvas
24 1/2 by 20 1/2 in. 62.2 by 52.1 cm.",
Pablo Picasso,Jeune fille endormie,06.21.2011,"21,799,182",,,,,,,Not Found,,https://www.sothebys.com/en/search-results.html?query=Pablo Picasso Jeune fille endormie&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past
Egon Schiele,Herbstsonne,06.20.2006,"21,708,430",,,,,,,Not Found,,https://www.sothebys.com/en/search-results.html?query=Egon Schiele Herbstsonne&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past
,Portrait de Paul éluard,02.10.2011,"21,685,938","L'authenticité de cette œuvre a été confirmée par Irus Hansma.
Georges Bauquier, Biot
Acquis du précèdent par le propriétaire actuel
Frank Elgar, Picasso et Léger, deux hommes, deux mondes, Paris, 1954, reproduit p. 37
signed with the artist monogram 'F.L.' (lower right); gouache on transfer paper laid down on canvas. Executed in 1947.
","signé du monogramme F.L. (en bas à droite)
",gouache sur papier calque marouflé sur toile,20 x 16 cm,https://sothebys-com.brightspotcdn.com/dims4/default/2a948ac/2147483647/strip/true/crop/1691x2000+0+0/resize/179x212!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot-migration.s3.amazonaws.com%2F09%2F61%2F6d%2Fbac7c1e34bdc6378581400ba97ca1d3676b2aadc8a8a2bcbf46d65d43c%2F301pf1516-8rjgj-1.jpg,"30,000",Found,"signé du monogramme F.L. (en bas à droite)
gouache sur papier calque marouflé sur toile
20 x 16 cm ; 7 7/8 x 6 1/4 in.
Exécuté en 1947.",
Cy Twombly,Poems to the sea,11.13.2013,"21,669,000","Galerie Änne Abels, Cologne
Private Collection, Cologne (acquired by 1965)
Siegfried Adler, Montagnola (acquired by 1973, until at least 1975)
Rudolf Zwirner, Cologne (acquired by 1976)
The Lone Star Foundation, Inc., New York (acquired from the above in July 1976)
Acquired by the present owner from the above in August 1980
Krefeld, Museum Haus Lange; Brussels, Palais des Beaux-Arts; Amsterdam, Stedelijk Museum; Freiburg, Der Kunstverein Freiburg, Cy Twombly, October 1965 - February 1966, cat. nos. 64-87, illustrated (nos. iv and xi)
Basel, Kunstmuseum Basel, Cy Twombly: Zeichnungen 1953-1973, May - June 1973, cat. no. 32, p. 37, illustrated (nos. iii, v, x, and xxi)
Düsseldorf, Stadtische Kunsthalle, Surrealitat - Bildrealitat 1924 - 1974, December 1974 - February 1975, cat. no. 365, p. 152 (nos. xxiii, xvi, and vii) 
Hannover, Kestner- Gesellschaft, Cy Twombly, May - June 1976, cat. no. 1, pp. 17-30, illustrated (nos. ii, iii, v, viii, ix, x, xiv, xv, xvi, xvii, xviii, xix, xxi, and xxiv) 
Paris, Musée d’Art Moderne de la Ville de Paris, ARC 2, Cy Twombly – Dessins 1954-1976, June - September 1976, cat. no. 14, illustrated (nos. xi, xxiii,
READ MORE
Manfred de la Motte, “Cy Twombly,” Quadrum, no. 16, 1964, pp. 40-41, illustrated (nos. iv and xi)
Manfred de la Motte, ""Cy Twombly,"" Art International, IX, no. 5, June 1965, p. 33 (text) 
Heinz Ohff, ""Cy Twombly,"" Das Kunstwerk, XXIV, no. 6, November 1971, p. 21 (text)
Exh. Cat., Philadelphia, Institute of Contemporary Art, University of Pennsylvania (and travelling), Cy Twombly: paintings, drawings, constructions, 1951-1974, 1975, pp. 9, 14, 20 and 24 (text) 
Christian Prigent, “Twombly ou l’entredeux,” NDLR. écriture/ peinture, no. 2, Autumn 1976, p. 36, illustrated (nos. vii, xi, xxiii)
Heiner Bastian, Cy Twombly: Poems to the Sea, Munich, 1990, n.p., illustrated in color
Klaus-Peter Busse, Cy Twombly: Hero and Leander, 1994
Exh. Cat., New York, Museum of Modern Art
READ MORE
Cy Twombly’s historic suite of twenty-four drawings, Poems to the Sea of 1959, invokes an aesthetic grandeur that is as intangible and ethereal as it is impressive and utterly irresistible. Widely exhibited internationally for almost half a century, Poems to the Sea has long been recognized as among the artist’s foremost triumphs, and is respected as a critical early touchstone for the subsequent evolution of his entire career. Executed at the beginning of a new chapter in the artist’s life, immersed in the prospect of a permanent existence in his newly adopted Italy, this revered masterpiece sits at the head of Twombly’s lifelong dialogue with the classical past, legends of the gods and the myths of ancient civilization. Permeated with the artist’s utterly inimitable, tremulous handwriting and exigent mark making, Poems to the Sea combines a transcription
READ MORE
","(i), (vii) and (xxiv) signed and dated Sperlonga July 1959 on the reverse
","oil-based house paint, pencil and wax crayon on paper, in twenty-four parts",30.3 x 31 cm,https://sothebys-com.brightspotcdn.com/dims4/default/ab7cec9/2147483647/strip/true/crop/2000x1436+0+0/resize/212x152!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot-migration.s3.amazonaws.com%2F15%2Ff8%2F20%2F52a818fea2fdae22473c88eee6a380ed15f5d02f09ae2625a2c0fdc293%2F257n09037-6tcrd.jpg,"6,000,000",Found,"(i), (vii) and (xxiv) signed and dated Sperlonga July 1959 on the reverse
oil-based house paint, pencil and wax crayon on paper, in twenty-four parts
each: dimensions variable: 12 x 12 1/8 in. to 13 5/8 x 12 1/8 in. 30.3 x 31 cm. to 34.6 x 31 cm.",
Francis Bacon,Three Studies for a Self-Portrait,02.12.2013,"21,661,584","This work will be included in the forthcoming Francis Bacon Catalogue Raisonné, being prepared by The Estate of Francis Bacon and edited by Martin Harrison.
Private Collection (acquired directly from the artist in 1982)
Sale: Christie's, London, Contemporary Art, 22 June 2006, Lot 37
Private Collection, Europe
Milan, Palazzo Reale, Bacon, 2008, no. 53, illustrated in colour
New York, Gagosian Gallery, Isabel and Other Intimate Strangers. Portraits by Alberto Giacometti and Francis Bacon, 2008, pp. 110-11, illustrated in colour
Rome, Galleria Borghese, Caravaggio Bacon, 2009-10, p. 210, illustrated in colour
Self-portraiture has played a role of unparalleled importance in the work of Francis Bacon. More so than any artist since Rembrandt, Bacon’s implacable self-portrayals weave an autobiographic thread through the exigent vicissitudes of an extraordinarily dramatic life. Lived with the deepest commitment to brutally seizing the vulnerable, vital and violent conditions of human existence in both his work and day-to-day being, Francis Bacon was an artist for whom the searing reality of life itself was the purpose. Nowhere is this more forcefully evident than in the haunting opus of Self-Portraiture. Executed in the artist’s eighth decade at the age of 71, Three Studies for a Self-Portrait, richly surmises a life’s worth of retrospect locked within an emphatically urgent scrutiny of Bacon’s iconic features. Belonging to a corpus of eleven triptych self-portrayals in Bacon’s standard 14
READ MORE
","each: signed, titled and dated 1980 on the reverse
",oil on canvas,35.5 by 30cm,https://sothebys-com.brightspotcdn.com/dims4/default/8f578f7/2147483647/strip/true/crop/2000x808+0+0/resize/212x86!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot-migration.s3.amazonaws.com%2Fa9%2F67%2F79%2F0114bf9a5c849d0df56505f0eb5d9fb6244d1305a56ef74965ff220762%2F221l13020-6qm5c-sq.jpg,"10,000,000",Found,"each: signed, titled and dated 1980 on the reverse
oil on canvas
each: 35.5 by 30cm.
14 by 12in.",
Paul Gauguin,Deux femmes or La Chevelure fleurie,02.07.2006,"21,656,598",,,,,,,Not Found,,https://www.sothebys.com/en/search-results.html?query=Paul Gauguin Deux femmes or La Chevelure fleurie&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past
,Abstraktes Bild,11.11.2014,"21,445,000","Anthony d'Offay Gallery, London
Private Collection, Germany
Christie's, London, 6 February 2003, Lot 711
Private Collection
Christie's, New York, 12 May 2011, Lot 122
Acquired from the above sale by the present owner 
Carré d'Art, Museé d'Art Contemporain de Nîmes, Gerhard Richter: 100 Bilder, June - September 1996, p. 29, illustrated in color
Gerhard Richter, Werkübersicht/Catalogue Raisonné 1962-1993, Bonn 1993, no. 752-4, illustrated in color
Dietmar Elger, Ed., Gerhard Richter, Catalogue Rasionné 1988-1994, Vol. 4, Ostfildern 2015, no. 752-4, p. 418, illustrated in color
“I want to end up with a picture that I haven’t planned. This method of arbitrary choice, chance, inspiration and destruction may produce a specific type of picture, but it never produces a predetermined picture…I just want to get something more interesting out of it than those things I can think out for myself.”
Gerhard Richter
","signed, dated XII. 91 and Dez. 91 and numbered 752-4 on the reverse
",oil on canvas,62.2 by 52.1 cm,https://sothebys-com.brightspotcdn.com/dims4/default/12982c0/2147483647/strip/true/crop/1685x2000+0+0/resize/179x212!/quality/90/?url=https%3A%2F%2Fsothebys-com.brightspotcdn.com%2Ff3%2F14%2F08%2F7ec9513bce3c6296fadfebb06190850afdfbdcd1fa043c7d1bb4e173e0%2F438n10070-b4sdc.jpg,"500,000",Found,"signed, dated XII. 91 and Dez. 91 and numbered 752-4 on the reverse
oil on canvas
24 1/2 by 20 1/2 in. 62.2 by 52.1 cm.",
Roy Lichtenstein,Reflections on the Prom,11.12.2014,"21,445,000",,"Lithograph with screenprint and relief printed in colours, with metallised PVC collage and embossing, 1990, from Reflections series, signed in pencil, dated, numbered 28/68 (total edition includes 16 artist's proofs), with the printer's blindstamp, printed and published by Tyler Graphics Ltd., New York, on mold-made Somerset wove paper, framed
",-,-,https://sothebys-com.brightspotcdn.com/dims4/default/c752693/2147483647/strip/true/crop/2000x1755+0+0/resize/212x186!/quality/90/?url=https%3A%2F%2Fsothebys-com.brightspotcdn.com%2F31%2F0e%2Fb1%2Fcdbd25c7d477c13bc0ba17d63ee8b12e485934054ffa607b0e35e99d1c%2Fl19160-99-web.jpg,"150,000",Found,"Lithograph with screenprint and relief printed in colours, with metallised PVC collage and embossing, 1990, from Reflections series, signed in pencil, dated, numbered 28/68 (total edition includes 16 artist's proofs), with the printer's blindstamp, printed and published by Tyler Graphics Ltd., New York, on mold-made Somerset wove paper, framed
image: 983 by 1237mm 38 3/4 by 48 3/4 in
sheet: 1146 by 1391mm 45 1/8 by 54 3/4 in",
Yves Klein,Archisponge,11.11.2008,"21,362,500","Jean Larcade, Paris
Jean-Marie Rossi, Paris
Sotheby's London, April 5, 1979, lot 465a
Private Collection, London (acquired from the above)
Francois de Menil, New York
Acquired by the present owner from the above circa 1983
Krefeld, Museum Haus Lange, Yves Klein: Monochrome und Feuer, January - February 1961, cat. no. 2
Paris, Centre Pompidou; Vienna, Museum Moderner Kunst Stiftung Ludwig Wien, Yves Klein: Corps, Coleur, Immatériel, October 2006 - February 2007, p. 69, illustrated in color
Paul Wember, Yves Klein, Cologne, 1969,  p. 81, illustrated (titled RE, blau)
Exh. Cat., Krefeld, Museum Haus Lange, Yves Klein: Monochrome und Feuer, 1994 reprint, p. 22 and p. 25, illustrated (installation views of Archisponge in the 1961 exhibition)
Exh. Cat., Frankfurt, Schirn Kunsthalle (and travelling), Yves Klein, 2005, p. 78, illustrated (in 1961 Krefeld installation)
Yves Klein's Archisponge (RE 11), from 1960 is one of the most evocative and potent representations of his unique, and uncompromising art and, as reflected in its title, a summation of the artist's Sponge Relief series.  With its rich texture, color saturation and scatter of sponges, it alludes to the notion of a world other than our own.  Growing up on the Mediterranean coast, Klein was deeply affected by the void of sea and sky as uninterrupted spatial fields. Underlying his boundless creativity was an innate desire to venture beyond that which was concrete. Archisponge (RE 11) is a stunning masterpiece representing one of the most important works in the artist's legendary oeuvre. Klein signed his name with the additional appellation of ``le monochrome'' and Archisponge (RE 11) sings with the ravishing International Klein Blue. The textural addition of
READ MORE
","signed, titled, and dated 1960 on the reverse
","natural sponges, pebbles and dry blue pigment in synthetic resin on panel",200 x 165 cm,https://sothebys-com.brightspotcdn.com/dims4/default/2274dd5/2147483647/strip/true/crop/2000x2000+0+0/resize/212x212!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot-migration.s3.amazonaws.com%2Fba%2F94%2F36%2F22539cc8180bc634a9e6fdd401c376bc1b23775427fa679b59d5fd8178%2Fn08489-12-lr-1.jpg,-,Found,"signed, titled, and dated 1960 on the reverse
natural sponges, pebbles and dry blue pigment in synthetic resin on panel
78 3/4 x 65 in. 200 x 165 cm",
Pablo Picasso,Femmes lisant,05.03.2011,"21,362,500","Estate of the artist
Bernard Picasso (by descent from the above)
The Pace Gallery, New York
Acquired from the above in 1981
Christian Zervos, ed., Picasso, 1930-1935 (Cahiers d'art), Paris, n.d., illustrated p. 56
Christian Zervos, Pablo Picasso, Oeuvres de 1932-1937, vol. 8, Paris, 1957, no. 191, illustrated pl. 82
Pierre Daix, Picasso, Life and Art, New York, 1993, discussed p. 229
The Picasso Project, ed., Picasso's Paintings, Watercolors, Drawings and Sculpture, Surrealism, 1930-1936, San Francisco, 2003, no. 34-043 , illustrated
Gary Tinterow & Susan Alyson Stein, ed., Picasso in the Metropolitan Museum of Art (exhibition catalogue), The Metropolitan Museum of Art, New York, 2010, discussed p. 217
Picasso's striking portrayal of two women reading belongs to the extraordinary group of canvases depicting Marie-Thérèse Walter, his beloved mistress during the early 1930s.  Distinguished by their rich coloration, harmonic curves and sweeping arabesques, these exceptional pictures are renowned as Picasso's most euphoric, sexually-charged, fantastical and inspired compositions, and they rank among the most instantly recognizable works of 20th century art.  In fact, of all the manifestations of Picasso's exceptionally prolific career, it is during his 'Marie-Thérèse period'  when his creative force was at its most powerful. Among the most monumental of these pictures is Femmes lisant (Deux personnages), created when Marie-Thérèse was firmly at the center of Picasso's artistic
READ MORE
","Dated Boisgeloup XXXIV 27 Mars (upper left)
",Oil on canvas,92 by 73 cm,https://sothebys-com.brightspotcdn.com/dims4/default/8e39384/2147483647/strip/true/crop/3165x4000+0+0/resize/168x212!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot-migration.s3.amazonaws.com%2F5b%2F33%2Fac%2Fe4249fb2d605416be3e03ecf111a2f05ab72271cf822b1510bb82c16e5%2F254n08741-636nl.jpg,"25,000,000",Found,"Dated Boisgeloup XXXIV 27 Mars (upper left)
Oil on canvas
36 1/4 by 28 3/4 in.
92 by 73 cm
Painted on March 27, 1934.",
Pablo Picasso,"Les femmes d′Alger, version L",05.04.2011,"21,362,500",,,,,,,Not Found,,"https://www.sothebys.com/en/search-results.html?query=Pablo Picasso Les femmes d′Alger, version L&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past"
Mark Rothko,Black Stripe,11.14.2012,"21,362,500",,,,,,,Not Found,,https://www.sothebys.com/en/search-results.html?query=Mark Rothko Black Stripe&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past
Charles Willson Peale,George Washington at Princeton,01.21.2006,"21,296,000",,,,,,,Not Found,,https://www.sothebys.com/en/search-results.html?query=Charles Willson Peale George Washington at Princeton&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past
Clyfford Still,1947-R-No. 1 ,11.15.2006,"21,296,000",,,,,,,Not Found,,https://www.sothebys.com/en/search-results.html?query=Clyfford Still 1947-R-No. 1 &refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past
Wassily Kandinsky,Studie zu Improvisation 3REPEAT SALE,06.18.2013,"21,216,846",,,,,,,Not Found,,https://www.sothebys.com/en/search-results.html?query=Wassily Kandinsky Studie zu Improvisation 3&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past
Willem de Kooning,Untitled XXXI,05.13.2014,"21,165,000","Estate of the artist
Matthew Marks Gallery, New York
Acquired by the present owner from the above in 1998
Basel, Kunstmuseum, De Kooning Paintings 1960-1980, September 2005 - January 2006, cat. no. 29, pp. 126-127, illustrated in color and illustrated in color on the cover (detail)
Willem de Kooning’s paintings from 1977 have long been regarded as among the finest within his extensive oeuvre.  Prized for capturing the essence of the sea, the sand and the surf, the works from this pinnacle year are among de Kooning’s most dynamically expressive representations of nature and the Long Island landscape he loved.  De Kooning began spending summers in East Hampton in 1959 and frequently considered giving up his Broadway loft entirely, following the lead of his contemporaries Jackson Pollock and Arshile Gorky who had already escaped the urban commotion of Manhattan in favor of the countryside. By summer 1961, de Kooning had purchased a small house in Springs, East Hampton and the following winter, had found a piece of property nearby that was perfect for a studio.  In 1963 he had moved entirely out of New York and immersed himself in the light-filled,
READ MORE
","signed on the stretcher
",oil on canvas,203.2 x 177.8 cm,https://sothebys-com.brightspotcdn.com/dims4/default/4aaf7b3/2147483647/strip/true/crop/704x790+0+0/resize/189x212!/quality/90/?url=https%3A%2F%2Fsothebys-com.brightspotcdn.com%2F3f%2F1a%2F42904ecc44a8b103a619316d8b03%2F159282810-n08243-37-1.jpg,"7,500,000",Found,"signed on the stretcher
oil on canvas
80 x 70 in. 203.2 x 177.8 cm.
Painted in 1977.",
Huang Zhou,Gaiety in the Grassland mounted,12.02.2013,"21,141,440",,,,,,,Not Found,,https://www.sothebys.com/en/search-results.html?query=Huang Zhou Gaiety in the Grassland mounted&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past
Egon Schiele,Krumauer Landschaft,06.23.2003,"21,064,050",,,,,,,Not Found,,https://www.sothebys.com/en/search-results.html?query=Egon Schiele Krumauer Landschaft&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past
Mark Rothko,No. 7,11.13.2007,"21,041,000","Betty Parsons Gallery, New York
The Cohen Family, Brooklyn, New York
The Pace Gallery, New York
Acquired by the present owner from the above in 2005
New York, Betty Parsons Gallery, Mark Rothko: Recent Paintings, March 1948
David Anfam, Mark Rothko: The Works on Canvas, Catalogue Raisonné, New Haven and London, 1998, cat. no. 367, p. 284, illustrated in color

",-,-,137.2 x 69.8 cm,https://sothebys-com.brightspotcdn.com/dims4/default/2637c7d/2147483647/strip/true/crop/1000x2000+0+0/resize/106x212!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot-migration.s3.amazonaws.com%2F70%2Fac%2F29%2F4417df3cc0ef9a2d2acf48efeced4b8ddadcdc7389c84c0a8e8e2284d6%2F315n09141-5v4f4.jpg,"1,500,000",Found,"oil on canvas
54 x 27 1/2 in. 137.2 x 69.8 cm.
Executed in 1948.",
Piet Mondrian,New York/Boogie Woogie,11.04.2004,"21,008,000",,,,,,,Not Found,,https://www.sothebys.com/en/search-results.html?query=Piet Mondrian New York/Boogie Woogie&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past
Edouard Manet,Jeune fille dans un jardin,11.09.2000,"20,905,750",,,,,,,Not Found,,https://www.sothebys.com/en/search-results.html?query=Edouard Manet Jeune fille dans un jardin&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past
Pierre-Auguste Renoir,Baigneuse,11.13.1997,"20,902,500","This work will be included in the forthcoming Renoir Digital Catalogue Raisonné, currently being prepared under the sponsorship of the Wildenstein Plattner Institute, Inc.
Alfred Daber, Paris (acquired circa 1954)
Wildenstein & Co., Paris
Private Collection, United States (acquired from the above on November 5, 1962)
Thence by descent
Paris, Alfred Daber, Pour mon plaisir: tableaux, acquarelles, dessins d'Ingres à Vuillard, 1954, no. 22, illustrated in the catalogue
Vevey, Switzerland, Musée Jenisch, Auguste Renoir, 1956, no. 82, illustrated in color in the catalogue
Ambroise Vollard, Tableaux, pastels & dessins de Pierre-Auguste Renoir, vol. I, Paris, 1918, no. 204, illustrated p. 51
Denis Rouart, Renoir, Geneva, 1954, illustrated in color p. 105
Guy-Patrice & Michel Dauberville, Renoir, Catalogue raisonné des tableaux, pastels, dessins et aquarelles, vol. V, Paris, 2014, no. 4318, illustrated p. 412
Nu assis is an exceptional example of Renoir's key subject: the female nude in a landscape. More than any other avant-garde painter of the late nineteenth century aside from Degas, Renoir focused his energy on the subject of the female nude, and the results he achieved were both unique and striking.

The development of Renoir's style in depicting nudes draws from both his early experience as an Impressionist painter and the influence of a trip he took to Italy in 1881, when he went to see works by Raphael and other Renaissance masters. Renoir's approach to this subject underwent a series of transformations in the 1870s and 1880s, creating an aesthetic that would become the epitome of Renoir's art. In Nu assis, a seated female bather sits in profile with her legs carefully draped in a billowy sheet, with her eyes either partially or fully closed. The outdoor setting
READ MORE
","Signed Renoir. (lower right)
",Oil on canvas,37.5 by 30.5 cm,https://sothebys-com.brightspotcdn.com/dims4/default/af120be/2147483647/strip/true/crop/1599x2000+0+0/resize/169x212!/quality/90/?url=https%3A%2F%2Fsothebys-com.brightspotcdn.com%2F57%2F8d%2F66%2Fd9359891e64b9b2c461cf3b34d2e0304b5e5aa1d3acffd8e4b057fc1f2%2F1021n10068-b258l.jpg,"700,000",Found,"Signed Renoir. (lower right)
Oil on canvas
15 by 12 1/2 in.
37.5 by 30.5 cm
Painted in 1914.",
Clyfford Still,PH - 21,05.14.2013,"20,885,000",,,,,,,Not Found,,https://www.sothebys.com/en/search-results.html?query=Clyfford Still PH - 21&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past
Jackson Pollock,The Blue Unconscious,05.14.2013,"20,885,000",,,,,,,Not Found,,https://www.sothebys.com/en/search-results.html?query=Jackson Pollock The Blue Unconscious&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past
Lucio Fontana,"Concetto spaziale, La fine di Dio",11.12.2013,"20,885,000",,-,-,-,https://sothebys-com.brightspotcdn.com/dims4/default/021d3d6/2147483647/strip/true/crop/2000x2000+0+0/resize/212x212!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot-migration.s3.amazonaws.com%2F3b%2Fe8%2F71%2Fbdfb9b32fc1f62d020ec4c2860d560fa18b72e1cc3adc8d2a0efd9b6a3%2F42djz-l03022-15.jpg,"650,000",Found,,
,Abstraktes Bild,11.12.2013,"20,885,000","Anthony d'Offay Gallery, London
Private Collection, Germany
Christie's, London, 6 February 2003, Lot 711
Private Collection
Christie's, New York, 12 May 2011, Lot 122
Acquired from the above sale by the present owner 
Carré d'Art, Museé d'Art Contemporain de Nîmes, Gerhard Richter: 100 Bilder, June - September 1996, p. 29, illustrated in color
Gerhard Richter, Werkübersicht/Catalogue Raisonné 1962-1993, Bonn 1993, no. 752-4, illustrated in color
Dietmar Elger, Ed., Gerhard Richter, Catalogue Rasionné 1988-1994, Vol. 4, Ostfildern 2015, no. 752-4, p. 418, illustrated in color
“I want to end up with a picture that I haven’t planned. This method of arbitrary choice, chance, inspiration and destruction may produce a specific type of picture, but it never produces a predetermined picture…I just want to get something more interesting out of it than those things I can think out for myself.”
Gerhard Richter
","signed, dated XII. 91 and Dez. 91 and numbered 752-4 on the reverse
",oil on canvas,62.2 by 52.1 cm,https://sothebys-com.brightspotcdn.com/dims4/default/12982c0/2147483647/strip/true/crop/1685x2000+0+0/resize/179x212!/quality/90/?url=https%3A%2F%2Fsothebys-com.brightspotcdn.com%2Ff3%2F14%2F08%2F7ec9513bce3c6296fadfebb06190850afdfbdcd1fa043c7d1bb4e173e0%2F438n10070-b4sdc.jpg,"500,000",Found,"signed, dated XII. 91 and Dez. 91 and numbered 752-4 on the reverse
oil on canvas
24 1/2 by 20 1/2 in. 62.2 by 52.1 cm.",
Juan Gris,"Livre, pipe et verres",11.06.2008,"20,802,500",,,,,,,Not Found,,"https://www.sothebys.com/en/search-results.html?query=Juan Gris Livre, pipe et verres&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past"
Alberto Giacometti,Le Chat,05.04.2010,"20,802,500","The authenticity of this work has been confirmed by the Giacometti Committee working under the authority of the artist's moral right and will be published in the Catalogue raisonné prepared by the Fondation Alberto et Annette Giacometti.
The authenticity of this work has also been confirmed by Mrs. Lisa Palmer.
Private Collection, France

Heinz Berggruen, Paris

Pierre Matisse Gallery, New York (acquired from the above)
Joachim Jean Aberbach, New York (acquired from the above in February 1960)
Galerie Beyeler, Basel
Hanover Gallery, London (acquired from the above in July 1965)  
Gimpel Hanover Gallery, Zürich (acquired from the above in March 1967)
Galerie Burén, Stockholm (on consignment)
Acquired from the above by the family of the present owner in 1967
Francis Ponge, ""Réflexions sur les statuettes, figures et peintures d'Alberto Giacometti"", Cahiers d'Art, no. 444, Paris, 1951, illustration of the plaster p. 74
Ernst Scheidegger, Alberto Giacometti: Schriften, Fotos, Zeichnungen, Zurich, 1958, illustration of the plaster p. 117
Palma Bucarelli, Giacometti, Rome, 1962, no. 45, illustration of another cast
James Lord, A Giacometti Portrait, New York, 1965, p. 21
Franz Meyer, Alberto Giacometti: Eine Kunst existentieller Wirklichkeit, Stuttgart, 1968, p. 162
Reinhold Hohl, Alberto Giacometti, Stuttgart, 1971, illustration of the plaster p. 121
Bernard Lamarche-Vadel, Alberto Giacometti, Paris, 1984, no. 202, illustration of another cast p. 142
Tahar Ben Jelloun, Alberto Giacometti, 1991, illustration of another cast p. 23
Yves
READ MORE
Giacometti's Le Chat is one of the most recognizable and profound compositions of his post-war production.  Slinking along, with its body in perfect alignment, this graceful creature possesses an elegance akin to the artist's elongated female nudes.   Giacometti was fascinated by the dexterity and anatomical pliancy of the animal, which in its very nature embodies the illusionistic properties of so many of his narrow busts and standing figures.  ""A cat is narrow and can pass between two very close objects,"" Giacometti once marveled, holding his hands about five centimeters apart.   The cat's physical elusiveness was also fascinating to the Existentialists, which made Giacometti's cat all the more relevant when it was created in 1951.  Observing how the animal could
READ MORE
","Inscribed Alberto Giacometti, stamped with the foundry mark Susse Fondr Paris and numbered 7/8
",Bronze,80 cm,https://sothebys-com.brightspotcdn.com/dims4/default/f75779c/2147483647/strip/true/crop/2000x2000+0+0/resize/212x212!/quality/90/?url=http%3A%2F%2Fsothebys-brightspot-migration.s3.amazonaws.com%2F3b%2F86%2F08%2Ff14c835743277b9204c1b41ff0332cc6ff3b2a953c51e9c363e735d1d8%2Fn08546-12-lr-1.jpg,"16,000,000",Found,"Inscribed Alberto Giacometti, stamped with the foundry mark Susse Fondr Paris and numbered 7/8

Bronze
Length: 31 1/2 in.
80 cm
Conceived in 1951 and cast in an edition of 8, plus one cast for the Fondation Maeght.   This bronze was cast in 1959.",
