Author,Art,Sale date,Price,Url,Report
Huang Zhou,Gaiety in the Grassland mounted,12.02.2013,"21,141,440",- and https://www.sothebys.com/en/search-results.html?query=Huang Zhou Gaiety in the Grassland mounted&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Egon Schiele,Krumauer Landschaft,06.23.2003,"21,064,050",- and https://www.sothebys.com/en/search-results.html?query=Egon Schiele Krumauer Landschaft&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Piet Mondrian,New York/Boogie Woogie,11.04.2004,"21,008,000",- and https://www.sothebys.com/en/search-results.html?query=Piet Mondrian New York/Boogie Woogie&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Edouard Manet,Jeune fille dans un jardin,11.09.2000,"20,905,750",- and https://www.sothebys.com/en/search-results.html?query=Edouard Manet Jeune fille dans un jardin&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Clyfford Still,PH - 21,05.14.2013,"20,885,000",- and https://www.sothebys.com/en/search-results.html?query=Clyfford Still PH - 21&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Jackson Pollock,The Blue Unconscious,05.14.2013,"20,885,000",- and https://www.sothebys.com/en/search-results.html?query=Jackson Pollock The Blue Unconscious&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
,Abstraktes Bild,11.12.2013,"20,885,000",https://www.christies.com/lotfinder/paintings/gerhard-richter-abstraktes-bild-5739122-details.aspx?from=searchresults&intObjectID=5739122 and ,Found in both Sothby's and Christie's
Juan Gris,"Livre, pipe et verres",11.06.2008,"20,802,500","- and https://www.sothebys.com/en/search-results.html?query=Juan Gris Livre, pipe et verres&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past",Not Found in both Sothby's and Christie's
Willem de Kooning,Interchange,11.08.1989,"20,680,000",- and https://www.sothebys.com/en/search-results.html?query=Willem de Kooning Interchange&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Andy Warhol,Big electric chair,05.14.2014,"20,437,000",- and https://www.sothebys.com/en/search-results.html?query=Andy Warhol Big electric chair&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Vincent van Gogh,Le pont de Trinquetaille,06.29.1987,"20,367,090",- and https://www.sothebys.com/en/search-results.html?query=Vincent van Gogh Le pont de Trinquetaille&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Vincent van Gogh,Le vieil If,11.14.1989,"20,350,000",- and https://www.sothebys.com/en/search-results.html?query=Vincent van Gogh Le vieil If&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Piet Mondrian,Composition No. II with Blue and Yellow,02.04.2014,"20,315,296",- and https://www.sothebys.com/en/search-results.html?query=Piet Mondrian Composition No. II with Blue and Yellow&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Claude Monet,Nymphéas,06.24.2002,"20,182,110",- and https://www.sothebys.com/en/search-results.html?query=Claude Monet Nymphéas&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Claude Monet,"Londres, le Parlement, effet de soleil dans le brouillard",11.03.2004,"20,167,500","- and https://www.sothebys.com/en/search-results.html?query=Claude Monet Londres, le Parlement, effet de soleil dans le brouillard&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past",Not Found in both Sothby's and Christie's
Canaletto,"The Bucintoro at the Molo, Venice, on Ascension Day",07.06.2005,"20,084,328","- and https://www.sothebys.com/en/search-results.html?query=Canaletto The Bucintoro at the Molo, Venice, on Ascension Day&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past",Not Found in both Sothby's and Christie's
Wang Meng,Landscape,06.03.2010,"20,004,392",- and https://www.sothebys.com/en/search-results.html?query=Wang Meng Landscape&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
,Struktur,06.27.2012,"19,812,788",https://www.christies.com/lotfinder/paintings/gerhard-richter-struktur-5584455-details.aspx?from=searchresults&intObjectID=5584455 and ,Found in both Sothby's and Christie's
Vincent van Gogh,La Roubine du Roi,05.12.1999,"19,802,500",- and https://www.sothebys.com/en/search-results.html?query=Vincent van Gogh La Roubine du Roi&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Fernand Léger,Les cylindres colorés,02.04.2014,"19,764,928",- and https://www.sothebys.com/en/search-results.html?query=Fernand Léger Les cylindres colorés&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Li Keran,Shaoshan-revolutionary sacred place of Chairman Mao′s former residence,05.12.2012,"19,681,484",- and https://www.sothebys.com/en/search-results.html?query=Li Keran Shaoshan-revolutionary sacred place of Chairman Mao′s former residence&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Lucian Freud,Ib and her Husband,11.13.2007,"19,361,000",- and https://www.sothebys.com/en/search-results.html?query=Lucian Freud Ib and her Husband&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Paul Cézanne,Joueur de cartes,05.01.2012,"19,122,500",- and https://www.sothebys.com/en/search-results.html?query=Paul Cézanne Joueur de cartes&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Willem de Kooning,Untitled I,05.16.2007,"19,080,000",https://www.christies.com/lotfinder/lot/willem-de-kooning-untitled-i-4913721-details.aspx?from=searchresults&intObjectID=4913721 and ,Found in both Sothby's and Christie's
Qian Weicheng,Yandang mountain,06.03.2010,"19,020,568",- and https://www.sothebys.com/en/search-results.html?query=Qian Weicheng Yandang mountain&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Auguste Rodin,"Eve, grand modèle-version sans rocherREPEAT SALE",05.06.2008,"18,969,000",https://www.christies.com/lotfinder/sculptures-statues-figures/auguste-rodin-eve-grand-modele-version-sans-5075578-details.aspx?from=searchresults&intObjectID=5075578 and ,Found in both Sothby's and Christie's
Claude Monet,NymphéasREPEAT SALE,11.05.2002,"18,709,500",- and https://www.sothebys.com/en/search-results.html?query=Claude Monet Nymphéas&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
,Untitled,05.12.2014,"18,645,000",- and https://www.sothebys.com/en/search-results.html?query= Untitled&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Pablo Picasso,Portrait de Germaine,05.02.2006,"18,608,000",- and https://www.sothebys.com/en/search-results.html?query=Pablo Picasso Portrait de Germaine&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Alexander Calder,Lily of Force,05.08.2012,"18,562,500",- and https://www.sothebys.com/en/search-results.html?query=Alexander Calder Lily of Force&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Pablo Picasso,Tête et main de femmeREPEAT SALE,05.09.2007,"18,520,000",- and https://www.sothebys.com/en/search-results.html?query=Pablo Picasso Tête et main de femme&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Alberto Giacometti,L′homme qui chavireREPEAT SALE,05.09.2007,"18,520,000",- and https://www.sothebys.com/en/search-results.html?query=Alberto Giacometti L′homme qui chavire&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Henri Matisse,Nu couché vu de dos,05.03.2006,"18,496,000",- and https://www.sothebys.com/en/search-results.html?query=Henri Matisse Nu couché vu de dos&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Constantin Brancusi,Danaïde,05.07.2002,"18,159,500",- and https://www.sothebys.com/en/search-results.html?query=Constantin Brancusi Danaïde&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Pierre-Auguste Renoir,La tasse de chocalat,11.12.1990,"18,150,000",- and https://www.sothebys.com/en/search-results.html?query=Pierre-Auguste Renoir La tasse de chocalat&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Peter Doig,Pine House,11.12.2014,"18,085,000",- and https://www.sothebys.com/en/search-results.html?query=Peter Doig Pine House&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Chaïm Soutine,Le petit pâtissier,05.08.2013,"18,043,750",- and https://www.sothebys.com/en/search-results.html?query=Chaïm Soutine Le petit pâtissier&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Pablo Picasso,Deux personnages,11.06.2008,"18,002,500",https://www.christies.com/lotfinder/lot/pablo-picasso-deux-personnages-5145329-details.aspx?from=searchresults&intObjectID=5145329 and ,Found in both Sothby's and Christie's
Bada Shanren,Mandarin ducks and bamboo,12.13.2010,"17,808,712",- and https://www.sothebys.com/en/search-results.html?query=Bada Shanren Mandarin ducks and bamboo&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Thomas Moran,Green river of Wyoming,05.21.2008,"17,737,000",- and https://www.sothebys.com/en/search-results.html?query=Thomas Moran Green river of Wyoming&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Wu Guanzhong,Lion woods,06.03.2011,"17,734,596",- and https://www.sothebys.com/en/search-results.html?query=Wu Guanzhong Lion woods&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Willem de Kooning,Untitled XXIV,11.12.2014,"17,525,000",https://www.christies.com/lotfinder/paintings/willem-de-kooning-untitled-xxiv-5846079-details.aspx?from=searchresults&intObjectID=5846079 and ,Found in both Sothby's and Christie's
Francis Bacon,Three Studies of Isabel RawsthorneREPEAT SALE,06.26.2013,"17,419,052",- and https://www.sothebys.com/en/search-results.html?query=Francis Bacon Three Studies of Isabel Rawsthorne&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Andy Warhol,Self-portrait,02.16.2011,"17,387,926",- and https://www.sothebys.com/en/search-results.html?query=Andy Warhol Self-portrait&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Andy Warhol,Mao,11.15.2006,"17,376,000",- and https://www.sothebys.com/en/search-results.html?query=Andy Warhol Mao&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Andy Warhol,Orange Marilyn,05.14.1998,"17,327,500",- and https://www.sothebys.com/en/search-results.html?query=Andy Warhol Orange Marilyn&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Chaïm Soutine,L′Homme au Foulard RougeREPEAT SALE,02.05.2007,"17,219,550",- and https://www.sothebys.com/en/search-results.html?query=Chaïm Soutine L′Homme au Foulard Rouge&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Paul Cézanne,Pommes et serviette,11.27.1989,"17,176,764",- and https://www.sothebys.com/en/search-results.html?query=Paul Cézanne Pommes et serviette&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Henri Matisse,La robe persane,11.09.2000,"17,055,750",- and https://www.sothebys.com/en/search-results.html?query=Henri Matisse La robe persane&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Kasimir Severinovich Malevich,Suprematist Composition,05.11.2000,"17,052,500",- and https://www.sothebys.com/en/search-results.html?query=Kasimir Severinovich Malevich Suprematist Composition&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Yves Klein,Rélief éponge bleu,05.14.2014,"16,965,000",- and https://www.sothebys.com/en/search-results.html?query=Yves Klein Rélief éponge bleu&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Peter Doig,Gasthof,07.01.2014,"16,948,124",- and https://www.sothebys.com/en/search-results.html?query=Peter Doig Gasthof&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Pablo Picasso,Famille de l′Arlequin,11.14.1989,"16,940,000",- and https://www.sothebys.com/en/search-results.html?query=Pablo Picasso Famille de l′Arlequin&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Jeff Koons,Balloon flower,11.10.2010,"16,882,500",- and https://www.sothebys.com/en/search-results.html?query=Jeff Koons Balloon flower&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Pablo Picasso,Homme à la pipeREPEAT SALE,11.06.2007,"16,841,000",https://www.christies.com/lotfinder/paintings/pablo-picasso-homme-a-la-pipe-4983568-details.aspx?from=searchresults&intObjectID=4983568 and ,Found in both Sothby's and Christie's
Amedeo Modigliani,Jeune fille assise en chemiseREPEAT SALE,11.06.2007,"16,841,000",- and https://www.sothebys.com/en/search-results.html?query=Amedeo Modigliani Jeune fille assise en chemise&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Max Beckmann,Selbstbildnis mit Glaskugel,05.03.2005,"16,816,000",- and https://www.sothebys.com/en/search-results.html?query=Max Beckmann Selbstbildnis mit Glaskugel&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Paul Cézanne,Pichet et assiette de poires,05.08.2002,"16,784,500",- and https://www.sothebys.com/en/search-results.html?query=Paul Cézanne Pichet et assiette de poires&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Cui Ruzhuo,100 works,10.05.2014,"16,726,588",- and https://www.sothebys.com/en/search-results.html?query=Cui Ruzhuo 100 works&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Fernand Léger,Le moteur,11.06.2001,"16,726,000",- and https://www.sothebys.com/en/search-results.html?query=Fernand Léger Le moteur&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Paul Cézanne,Pichet de gres,11.11.1999,"16,502,500",- and https://www.sothebys.com/en/search-results.html?query=Paul Cézanne Pichet de gres&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Paul Cézanne,Fillette à la poupee,05.07.2001,"16,502,500",- and https://www.sothebys.com/en/search-results.html?query=Paul Cézanne Fillette à la poupee&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Edouard Manet,Le banc,05.15.1990,"16,500,000",- and https://www.sothebys.com/en/search-results.html?query=Edouard Manet Le banc&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Sanyu,Five nudes,05.30.2011,"16,493,361",- and https://www.sothebys.com/en/search-results.html?query=Sanyu Five nudes&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
,Kerze,10.14.2011,"16,451,346",- and https://www.sothebys.com/en/search-results.html?query= Kerze&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Roy Lichtenstein,Sunrise,11.12.2014,"16,405,000",https://www.christies.com/lotfinder/paintings/roy-lichtenstein-sunrise-5846083-details.aspx?from=searchresults&intObjectID=5846083 and ,Found in both Sothby's and Christie's
Marc Chagall,Anniversaire,05.17.1990,"16,335,000",- and https://www.sothebys.com/en/search-results.html?query=Marc Chagall Anniversaire&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Juan Gris,Le livre,02.07.2012,"16,334,115",https://www.christies.com/lotfinder/paintings/juan-gris-le-livre-5532366-details.aspx?from=searchresults&intObjectID=5532366 and ,Found in both Sothby's and Christie's
Andy Warhol,Silver Liz,11.08.2011,"16,322,500",- and https://www.sothebys.com/en/search-results.html?query=Andy Warhol Silver Liz&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Roy Lichtenstein,In the car,11.08.2005,"16,256,000",- and https://www.sothebys.com/en/search-results.html?query=Roy Lichtenstein In the car&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Wang Zhenpeng,Landscape,12.04.2012,"16,252,850",- and https://www.sothebys.com/en/search-results.html?query=Wang Zhenpeng Landscape&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Canaletto,"The old horse guards, London, from St. James′s park",04.15.1992,"16,205,742","- and https://www.sothebys.com/en/search-results.html?query=Canaletto The old horse guards, London, from St. James′s park&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past",Not Found in both Sothby's and Christie's
Li Keran,Long march,11.22.2010,"16,189,113",- and https://www.sothebys.com/en/search-results.html?query=Li Keran Long march&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Claude Monet,Dans la PrairieREPEAT SALE,02.04.2009,"16,044,636",- and https://www.sothebys.com/en/search-results.html?query=Claude Monet Dans la Prairie&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Amedeo Modigliani,Vénus,11.08.2006,"15,920,000",- and https://www.sothebys.com/en/search-results.html?query=Amedeo Modigliani Vénus&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Cui Ruzhuo,Lotus,11.29.2011,"15,894,362",- and https://www.sothebys.com/en/search-results.html?query=Cui Ruzhuo Lotus&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Francesco Guardi,Vue de la Giudecca et du Zattere à Venise,12.01.1989,"15,866,500",- and https://www.sothebys.com/en/search-results.html?query=Francesco Guardi Vue de la Giudecca et du Zattere à Venise&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Henri Matisse,La fenêtre ouverte,05.04.2011,"15,762,500",https://www.christies.com/lotfinder/paintings/henri-matisse-la-fenetre-ouverte-5433464-details.aspx?from=searchresults&intObjectID=5433464 and ,Found in both Sothby's and Christie's
Canaletto,Venice,12.04.2013,"15,735,617",- and https://www.sothebys.com/en/search-results.html?query=Canaletto Venice&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Andy Warhol,Double Elvis,11.13.2007,"15,721,000",- and https://www.sothebys.com/en/search-results.html?query=Andy Warhol Double Elvis&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Roy Lichtenstein,Sinking Sun,05.10.2006,"15,696,000",- and https://www.sothebys.com/en/search-results.html?query=Roy Lichtenstein Sinking Sun&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Willem de Kooning,Untitled XVI,05.10.2006,"15,696,000",- and https://www.sothebys.com/en/search-results.html?query=Willem de Kooning Untitled XVI&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Andy Warhol,Sixteen Jackies,11.15.2006,"15,696,000",- and https://www.sothebys.com/en/search-results.html?query=Andy Warhol Sixteen Jackies&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Amedeo Modigliani,Fillette assise en robe,11.09.2000,"15,625,750",- and https://www.sothebys.com/en/search-results.html?query=Amedeo Modigliani Fillette assise en robe&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Lucian Freud,Bruce Bernard,06.20.2007,"15,607,602",https://www.christies.com/lotfinder/paintings/lucian-freud-bruce-bernard-4931732-details.aspx?from=searchresults&intObjectID=4931732 and ,Found in both Sothby's and Christie's
Norman Rockwell,Breaking Home Ties,11.29.2006,"15,416,000",- and https://www.sothebys.com/en/search-results.html?query=Norman Rockwell Breaking Home Ties&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Pablo Picasso,La cage d′oiseaux,11.10.1988,"15,400,000",- and https://www.sothebys.com/en/search-results.html?query=Pablo Picasso La cage d′oiseaux&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Francis Bacon,Study for a Head,02.11.2015,"15,312,942",https://www.christies.com/lotfinder/paintings/francis-bacon-study-for-a-head-5871567-details.aspx?from=searchresults&intObjectID=5871567 and ,Found in both Sothby's and Christie's
Cy Twombly,Unititled,05.11.2011,"15,202,500",https://www.christies.com/lotfinder/paintings/cy-twombly-unititled-5437842-details.aspx?from=searchresults&intObjectID=5437842 and ,Found in both Sothby's and Christie's
Henri Matisse,Nu au coussin bleu,05.04.2010,"15,090,500",- and https://www.sothebys.com/en/search-results.html?query=Henri Matisse Nu au coussin bleu&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Francis Bacon,Version No. 2 of Lying Figure with Hypodermic Syringe,11.14.2006,"15,024,000",- and https://www.sothebys.com/en/search-results.html?query=Francis Bacon Version No. 2 of Lying Figure with Hypodermic Syringe&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Robert Ryman,UntitledREPEAT SALE,11.11.2014,"15,005,000",- and https://www.sothebys.com/en/search-results.html?query=Robert Ryman Untitled&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
,"Abstraktes Bild, 710",11.12.2008,"14,866,500","- and https://www.sothebys.com/en/search-results.html?query= Abstraktes Bild, 710&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past",Not Found in both Sothby's and Christie's
Henri Matisse,La pose hindoue,05.08.1995,"14,850,500",- and https://www.sothebys.com/en/search-results.html?query=Henri Matisse La pose hindoue&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Edouard Manet,La promenande,11.15.1989,"14,850,000",- and https://www.sothebys.com/en/search-results.html?query=Edouard Manet La promenande&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Alberto Giacometti,Trois hommes qui marchent I,02.04.2014,"14,811,615",- and https://www.sothebys.com/en/search-results.html?query=Alberto Giacometti Trois hommes qui marchent I&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Li Keran,The long march,12.03.2010,"14,793,245",- and https://www.sothebys.com/en/search-results.html?query=Li Keran The long march&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Sir Joshua Reynolds,"Portrait of Omai standing in a landscape, wearing robes and a headdress",11.29.2001,"14,749,038","- and https://www.sothebys.com/en/search-results.html?query=Sir Joshua Reynolds Portrait of Omai standing in a landscape, wearing robes and a headdress&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past",Not Found in both Sothby's and Christie's
Gustav Klimt,Litzlbergerkeller am Attersee,05.13.1997,"14,742,500",- and https://www.sothebys.com/en/search-results.html?query=Gustav Klimt Litzlbergerkeller am Attersee&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Fernand Léger,La tasse de thé,02.23.2009,"14,736,940",- and https://www.sothebys.com/en/search-results.html?query=Fernand Léger La tasse de thé&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Willem de Kooning,Untitled III,11.12.2014,"14,725,000",https://www.christies.com/lotfinder/paintings/willem-de-kooning-untitled-iii-5846099-details.aspx?from=searchresults&intObjectID=5846099 and ,Found in both Sothby's and Christie's
Pablo Picasso,Mousquetaire à la pipeREPEAT SALE,05.06.2009,"14,642,500",- and https://www.sothebys.com/en/search-results.html?query=Pablo Picasso Mousquetaire à la pipe&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
,Karmin,02.11.2015,"14,630,369",https://www.christies.com/lotfinder/paintings/gerhard-richter-karmin-5871581-details.aspx?from=searchresults&intObjectID=5871581 and ,Found in both Sothby's and Christie's
Camille Pissarro,L′HiverREPEAT SALE,11.06.2007,"14,601,000",- and https://www.sothebys.com/en/search-results.html?query=Camille Pissarro L′Hiver&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Alberto Giacometti,La Place II,05.06.2008,"14,601,000",- and https://www.sothebys.com/en/search-results.html?query=Alberto Giacometti La Place II&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Fernand Léger,Contrastes de formes,11.27.1989,"14,600,250",- and https://www.sothebys.com/en/search-results.html?query=Fernand Léger Contrastes de formes&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Henri de Toulouse-Lautrec,Danseuse assise aux bas roses,05.12.1997,"14,522,500",- and https://www.sothebys.com/en/search-results.html?query=Henri de Toulouse-Lautrec Danseuse assise aux bas roses&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Henri Matisse,Harmonie jaune,11.11.1992,"14,520,000",- and https://www.sothebys.com/en/search-results.html?query=Henri Matisse Harmonie jaune&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Fu Baoshi,Composition of Dufu′s poem,06.03.2012,"14,440,886",- and https://www.sothebys.com/en/search-results.html?query=Fu Baoshi Composition of Dufu′s poem&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Unkei,A wood sculpture of Dainichi Nyorai,03.18.2008,"14,377,000",- and https://www.sothebys.com/en/search-results.html?query=Unkei A wood sculpture of Dainichi Nyorai&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Gustave Caillebotte,"L′homme au balcon, boulevard Haussmann",05.08.2000,"14,306,000","- and https://www.sothebys.com/en/search-results.html?query=Gustave Caillebotte L′homme au balcon, boulevard Haussmann&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past",Not Found in both Sothby's and Christie's
Alberto Giacometti,Grande femme debout IREPEAT SALE,11.08.2000,"14,306,000",- and https://www.sothebys.com/en/search-results.html?query=Alberto Giacometti Grande femme debout I&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Mark Rothko,Yellow over purple,05.17.2000,"14,305,750",- and https://www.sothebys.com/en/search-results.html?query=Mark Rothko Yellow over purple&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
Claude Monet,"Meules, derniers rayons de soleil",06.26.2001,"14,304,790","- and https://www.sothebys.com/en/search-results.html?query=Claude Monet Meules, derniers rayons de soleil&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past",Not Found in both Sothby's and Christie's
Henri Matisse,La Mulatresse Fatma,05.11.1993,"14,302,500",- and https://www.sothebys.com/en/search-results.html?query=Henri Matisse La Mulatresse Fatma&refinementList%5Btype%5D%5B0%5D=Lot&timeframe=past,Not Found in both Sothby's and Christie's
